UTC Time,MES, R_Run, S_S, VN, UR_V, L_OP1I, L_OP1O, L_OP2I, L_OP2O, DI, DO, J_V_0, J_V_1, J_V_2, J_V_3, J_V_4, J_V_5, J_P_0, J_P_1, J_P_2, J_P_3, J_P_4, J_P_5, J_C_0, J_C_1, J_C_2, J_C_3, J_C_4, J_C_5, TCP_F_0, TCP_F_1, TCP_F_2, TCP_T_0, TCP_T_1, TCP_T_2,Label
1:55:01 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05259765,0.1186508,-0.07799958,-1.711343,0.6119897,-0.2174033,2.286517,-0.5201403,-0.7236086,0.05367586,-0.01865499,-0.255381,Normal
1:55:01 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.03807983,0.1116715,-0.08721662,-1.683036,0.648963,-0.1842636,2.06179,-0.8445274,-0.1944752,0.06326699,-0.009356544,-0.2442456,Normal
1:55:02 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04394505,0.1100962,-0.1094656,-1.653826,0.617781,-0.1945012,2.212359,-0.4448163,-0.6223472,0.05098787,-0.01924338,-0.2547294,Normal
1:55:02 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.02970583,0.1190519,-0.1067557,-1.598136,0.6478493,-0.1540639,2.218762,-0.4875428,-0.6565662,0.05207299,-0.01813262,-0.2543394,Normal
1:55:03 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.03485137,0.1134064,-0.1048091,-1.662647,0.6431069,-0.1150179,2.356596,-0.4404491,-0.7230952,0.05210953,-0.02022484,-0.2579066,Normal
1:55:03 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.04629549,0.1200624,-0.1162018,-1.689923,0.627485,-0.161313,2.368868,-0.7037143,-0.3698333,0.058496,-0.01605068,-0.2485049,Normal
1:55:04 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.05201731,0.1189574,-0.1107166,-1.674852,0.6536156,-0.1782741,2.233254,-0.3048146,-0.783743,0.05040135,-0.01964014,-0.2575392,Normal
1:55:04 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.06682434,0.1036155,-0.07030893,-1.631183,0.6434819,-0.1752304,2.373617,-0.9022224,-0.5041823,0.06225257,-0.01659188,-0.2551388,Normal
1:55:05 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.08569302,0.1117236,-0.07067636,-1.657291,0.6485415,-0.13936,2.269618,-0.3593281,-0.5041119,0.0523984,-0.01332818,-0.2582394,Normal
1:55:05 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.07440148,0.1198459,-0.09156848,-1.660135,0.6227668,-0.1285536,2.433124,-0.9543745,-0.5125524,0.06424845,-0.01441015,-0.2487773,Normal
1:55:06 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0667171,0.1284896,-0.101021,-1.654859,0.6376692,-0.1975416,2.027591,-1.101969,-0.1783736,0.06216662,-0.001621846,-0.2502039,Normal
1:55:06 AM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.70844,-1.565401,-1.361048,2.104489,-2.343762,-1.568866,-0.0683296,0.09181108,-0.1099491,-1.666495,0.5811131,-0.1800047,2.188692,-0.7855778,-0.3252997,0.06200699,-0.01298167,-0.2492391,Normal
